record_id,mof_id,MOF_name,chemical_formula,metal_node,organic_linker,pore_size,pore_size_unit,CSD_refcode,MOFid,MOFkey,source_material_id,topology,surface_area_BET,surface_area_BET_unit,pore_volume,pore_volume_unit,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,measurement_type,capacity_value,capacity_unit,isotherm_id,DOI,publication_year,source_id,source_type,source_url,source_location,source_database,extraction_method,extraction_confidence,notes
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p1_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0,bar,capacity,101.724,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p2_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.002793,bar,capacity,124.138,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p3_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.03352,bar,capacity,143.103,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p4_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.067039,bar,capacity,146.552,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p5_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.139665,bar,capacity,153.448,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p6_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.206704,bar,capacity,155.172,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p7_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.27095,bar,capacity,156.897,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p8_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.321229,bar,capacity,158.621,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p9_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.374302,bar,capacity,160.345,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p10_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.435754,bar,capacity,163.793,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p11_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.494413,bar,capacity,165.517,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p12_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.564246,bar,capacity,167.241,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p13_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.622905,bar,capacity,168.966,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p14_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.670391,bar,capacity,170.69,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p15_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.740223,bar,capacity,174.138,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p16_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.782123,bar,capacity,177.586,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p17_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.807263,bar,capacity,179.31,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p18_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.832402,bar,capacity,182.759,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p19_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.865922,bar,capacity,187.931,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p20_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.871508,bar,capacity,189.655,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p21_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.899441,bar,capacity,194.828,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p22_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.918994,bar,capacity,205.172,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p23_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.930168,bar,capacity,206.897,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p24_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.946927,bar,capacity,218.966,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p25_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.958101,bar,capacity,232.759,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p26_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.960894,bar,capacity,275.862,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
nist_10_1016j_ijhydene_2015_06_109_Isotherm1_p27_Hydrogen,NIST-MATDB-646305b7be8c332d8656167133c58d58,Zr-fum MOF (393 k),,,,,,,,,NIST-MATDB-646305b7be8c332d8656167133c58d58,,,,,,H2,Hydrogen,77,K,0.97486,bar,capacity,275.862,cm3(STP)/g,10.1016j.ijhydene.2015.06.109.Isotherm1,10.1016/j.ijhydene.2015.06.109,2015,db_nist_isodb,github_api_mirror,https://raw.githubusercontent.com/NIST-ISODB/isodb-library/master/Library/10.1016j.ijhydene.2015.06.109/10.1016j.ijhydene.2015.06.109.Isotherm1.json,Figure 2a,NIST ISODB,github_mirror_json,high,NIST category=exp; articleSource=Figure 2a; digitizer=David A. Anderegg.
